School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,Address,City,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,,,
10TH STREET SCHOOL,2014-15,168,91.1,4.2,1.2,3.6,0,0,1.8,2.4,2.4,2.4,2.4,1.2,153,7,2,6,0,0,3,4,4,4,4,2,Y,7204 27TH AVE NE,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43259,N,Y,,6-8,43259
49TH STREET ACADEMY,2014-15,131,37.4,4.6,0.8,3.1,0.8,0,4.6,1.5,3.1,3.1,1.5,0.8,49,6,1,4,1,0,6,2,4,4,2,1,Y,14619B NE 49TH STREET,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -12,Y,Y,,9-12,43355
A G WEST BLACK HILLS HIGH SCHOOL,2014-15,895,90.7,5.8,0.1,5.3,0.4,0,4,3.6,4.1,3,3.1,0,812,52,1,47,4,0,36,32,37,27,28,0,Y,7741 LITTLEROCK ROAD SW,TUMWATER,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,43355,N,N,,7-12,43293
A J WEST ELEMENTARY,2014-15,413,91.8,1,0,1,0,0,0.7,0.7,0.2,0.5,0.2,0.2,379,4,0,4,0,0,3,3,1,2,1,1,Y,1801 BAY AVE,ABERDEEN,ABERDEEN SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,,11-12,43416
ABRAHAM LINCOLN ELEMENTARY,2014-15,515,96.9,2.7,0,2.5,0.2,0,1.9,1.9,2.7,1.9,1.9,2.7,499,14,0,13,1,0,10,10,14,10,10,14,Y,1224 METHOW ST,WENATCHEE,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,,3-8,43167
ACADEMIC INSTITUTE,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,13400 NE 20TH SUITE 47,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43293,N,N,,10-12,43385
ACADEMY FOR PRECISION LEARNING,2014-15,97,74.2,16.5,4.1,10.3,1,3.1,12.4,9.3,12.4,11.3,10.3,12.4,72,16,4,10,1,3,12,9,12,11,10,12,Y,5031 UNIVERSITY WAY NE,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-9,Y,Y,,,
ACADEMY NW/FAMILY ACADEMY,2014-15,105,57.1,42.9,0,36.2,6.7,0,42.9,42.9,42.9,42.9,42.9,42.9,60,45,0,38,7,0,45,45,45,45,45,45,Y,23420 JORDAN RD,ARLINGTON,ARLINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,Y,Y,,,
ACADEMY OF CITIZENSHIP AND EMPOWERMENT,2014-15,441,90.9,0.9,0,0.9,0,0,0.7,0.7,0.9,0.7,0.7,0.7,401,4,0,4,0,0,3,3,4,3,3,3,Y,4424 SOUTH 188TH STREET,SEATAC,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
ACADEMY OF CONST AND ENGINEERING,2014-15,321,85.4,3.7,0.3,3.1,0.3,0,2.5,1.6,1.9,1.6,2.2,0,274,12,1,10,1,0,8,5,6,5,7,0,Y,8301 84TH STREET NE,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
ACADEMY SCHOOLS / CHILDREN’S ACADEMY,2014-15,39,94.9,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,Y,14601 INTERURBAN AVE S,TUKWILA,TUKWILA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,,,
ACCELERATION ACADEMY,2014-15,131,90.1,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,Y,16218 PACIFIC AVE,SPANAWAY,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
ACES HIGH SCHOOL,2014-15,198,97,1.5,0,1.5,0,0,1,0,0.5,0.5,0.5,0.5,192,3,0,3,0,0,2,0,1,1,1,1,Y,9700 HOLLY DRIVE,EVERETT,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
ACME ELEMENTARY,2014-15,203,83.7,5.4,3,2.5,0,0,5.4,5.4,4.9,4.9,4.9,4.9,170,11,6,5,0,0,11,11,10,10,10,10,Y,5200 TURKINGTON RD,ACME,MOUNT BAKER SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
ADAMS ELEMENTARY,2014-15,299,86.3,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,Y,1309 S CAMAS AVE,WAPATO,WAPATO SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,,,
ADAMS ELEMENTARY,2014-15,328,79.6,7.9,0.6,5.2,0.3,0,4.3,4.3,4,4.3,4,5.8,261,26,2,17,1,0,14,14,13,14,13,19,Y,2909-E 37 AVE,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,,,
ADAMS ELEMENTARY,2014-15,445,92.4,6.5,0.9,4.9,0.7,0,5.4,5.4,5.6,5.2,5.2,5.8,411,29,4,22,3,0,24,24,25,23,23,26,Y,14707 E 8TH AVENUE,SPOKANE VALLEY,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,,,
ADAMS ELEMENTARY SCHOOL,2014-15,534,73.6,6.2,2.2,4.1,0.2,0,1.9,1.9,2.4,2.4,3.7,3.9,393,33,12,22,1,0,10,10,13,13,20,21,Y,6110 28 AV NW,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
ADAMS ELEMENTARY SCHOOL,2014-15,689,97.4,0.4,0.4,0,0,0,0.4,0.4,0.4,0.4,0.3,0.4,671,3,3,0,0,0,3,3,3,3,2,3,Y,723 S 8TH ST,YAKIMA,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N,,,
